name,description,lat,lng,categories
Praia da Marinha,One of the most iconic beaches in the Algarve with stunning cliff formations,37.0893,-8.4107,"beach,viewpoint"
Benagil Cave,Famous sea cave accessible by boat or kayak featuring a natural skylight,37.0872,-8.4234,"nature,adventure"
Ponta da Piedade,Dramatic golden cliffs and rock formations near Lagos,37.0828,-8.6697,"viewpoint,nature"
Praia de Dona Ana,Beautiful beach surrounded by ochre cliffs,37.0931,-8.6710,"beach,viewpoint"
Cape Saint Vincent,The southwestern tip of Europe with dramatic cliffs,37.0227,-8.9957,"viewpoint,nature"
Ria Formosa Natural Park,Lagoon system with diverse wildlife and pristine beaches,37.0167,-7.8167,"nature,adventure"
Praia da Rocha,Popular beach with distinctive rock formations,37.1167,-8.5333,"beach,adventure"
Silves Castle,Well-preserved Moorish castle with museum,37.1894,-8.4400,"castle,culture"
Praia de Faro,Long sandy beach on a barrier island,36.9833,-7.9167,"beach,nature"
Alte Village,Traditional Algarve village with natural springs,37.2333,-8.1833,"culture,gastronomy"
Praia de Odeceixe,River beach meeting the ocean at a scenic bay,37.4432,-8.7962,"beach,nature"
Praia do Camilo,Small beach accessed by wooden stairs through cliffs,37.0950,-8.6683,"beach,viewpoint"
Tavira Island,Barrier island with pristine beaches,37.1167,-7.6333,"beach,nature"
Monchique Mountains,Highest point in the Algarve with thermal springs,37.3167,-8.5500,"nature,adventure"
Lagos Old Town,Historic center with baroque churches and remnants of the slave market,37.1000,-8.6750,"culture,gastronomy"
Cacela Velha,Picturesque clifftop village overlooking the lagoon,37.1600,-7.5450,"viewpoint,culture"
Praia da Falésia,Long stretch of beach with red and ochre cliffs,37.0833,-8.1500,"beach,viewpoint"
Loulé Market,Traditional market selling local produce and crafts,37.1333,-8.0167,"culture,gastronomy"
Praia do Martinhal,Family-friendly beach near Sagres,37.0167,-8.9333,"beach,adventure"
Carvoeiro,Charming fishing village with beautiful cove beaches,37.0944,-8.4722,"beach,culture"
Jerónimos Monastery,Masterpiece of Manueline architecture and UNESCO site,38.6979,-9.2068,"monastery,culture"
Belém Tower,Iconic 16th-century fortification on the Tagus,38.6916,-9.2160,"castle,culture"
Sintra National Palace,Royal residence with distinctive conical chimneys,38.7976,-9.3906,"castle,culture"
Pena Palace,Colorful Romanticist castle atop the Sintra hills,38.7876,-9.3906,"castle,viewpoint"
Quinta da Regaleira,Mystical estate with initiatic wells and gardens,38.7965,-9.3960,"castle,culture"
Cabo da Roca,Westernmost point of mainland Europe,38.7808,-9.4991,"viewpoint,nature"
Cascais,Elegant coastal town with beaches and museums,38.6970,-9.4223,"beach,culture"
Alfama,Historic Moorish neighborhood in Lisbon,38.7118,-9.1300,"culture,gastronomy"
São Jorge Castle,Moorish castle with panoramic views of Lisbon,38.7139,-9.1337,"castle,viewpoint"
Oceanário de Lisboa,One of the largest aquariums in Europe,38.7636,-9.0935,"nature,culture"
LX Factory,Creative hub with restaurants and shops in former factory,38.7035,-9.1780,"culture,gastronomy"
Praça do Comércio,Grand riverside square and gateway to Lisbon,38.7075,-9.1364,"culture,viewpoint"
Time Out Market,Food hall showcasing Portuguese gastronomy,38.7068,-9.1458,"gastronomy,culture"
Miradouro da Senhora do Monte,Highest viewpoint in Lisbon,38.7197,-9.1330,"viewpoint,culture"
National Tile Museum,Stunning collection of Portuguese azulejos,38.7250,-9.1150,"culture,monastery"
Praia de Carcavelos,Popular beach near Lisbon for surfing,38.6775,-9.3378,"beach,adventure"
Guincho Beach,Wild beach known for wind sports,38.7278,-9.4739,"beach,adventure"
Mafra National Palace,Monumental baroque palace and monastery,38.9372,-9.3261,"monastery,castle"
Arrábida Natural Park,Stunning coastline and mediterranean forest,38.4833,-9.0167,"nature,viewpoint"
